@relation corpus_simple
@attribute character_count real
@attribute word_count real
@attribute average_word_length real
@attribute most_common_stop_word {the, he, to, and, a, of, it, you, i, his, in, she, for, was, they, an, him, her, when, their, or, my, we}
@attribute title_word_count real
@attribute adjective_percent real
@attribute adverb_percent real
@attribute noun_percent real
@attribute pronoun_percent real
@attribute verb_percent real
@attribute class {arabiannights, italiantyrol, russian, australian, canadian, german, japanese, aesop, armenian, chinese, norse, hawaiian, southernindia, english, mexicocity, slavic, indian, eskimo, welsh, czech, eapoe, hindi, dutch, georgian, finnish, iroquois, apache, irish, filipino, kingarthur, serbian, mothergoose, celtic, hamiltonwrightmabie, korean, hanschristiananderson, viking}
@data
%
% 1621 instances
%
549,126,4.357142857142857,and,3,0.04430379746835443,0.03164556962025317,0.15822784810126583,0.006329113924050633,0.11392405063291139,aesop
4317,1023,4.219941348973607,the,4,0.06048387096774194,0.02956989247311828,0.15456989247311828,0.014112903225806451,0.08736559139784947,iroquois
8896,2121,4.194247996228194,the,5,0.038196834136269786,0.024432209222298693,0.14315209910529939,0.021335168616655197,0.0973847212663455,georgian
47675,11301,4.2186532165295105,the,2,0.035269159374171306,0.026385574118271016,0.15015910898965792,0.03328029700344736,0.11217183770883055,apache
1011,223,4.533632286995516,the,3,0.040123456790123455,0.033950617283950615,0.19444444444444445,0.0,0.06790123456790123,australian
771,166,4.644578313253012,the,5,0.035398230088495575,0.030973451327433628,0.17699115044247787,0.008849557522123894,0.09292035398230089,aesop
1135,277,4.097472924187725,the,5,0.06572769953051644,0.018779342723004695,0.11971830985915492,0.025821596244131457,0.09859154929577464,finnish
967,197,4.908629441624366,the,4,0.059602649006622516,0.026490066225165563,0.22847682119205298,0.009933774834437087,0.03642384105960265,chinese
2654,661,4.015128593040847,i,1,0.044642857142857144,0.012896825396825396,0.13690476190476192,0.047619047619047616,0.09623015873015874,welsh
290,66,4.393939393939394,the,5,0.045454545454545456,0.00909090909090909,0.15454545454545454,0.01818181818181818,0.09090909090909091,aesop
565,132,4.28030303030303,the,6,0.05102040816326531,0.01020408163265306,0.18877551020408162,0.03571428571428571,0.10204081632653061,chinese
725,182,3.9835164835164836,the,4,0.029661016949152543,0.05084745762711865,0.1864406779661017,0.0211864406779661,0.0847457627118644,czech
15332,3541,4.329850324767015,the,6,0.0502970297029703,0.022178217821782177,0.19346534653465347,0.016831683168316833,0.0899009900990099,irish
456,112,4.071428571428571,the,2,0.08088235294117647,0.014705882352941176,0.15441176470588236,0.014705882352941176,0.10294117647058823,aesop
13944,3154,4.421052631578948,the,3,0.06567352077213597,0.027696181284095678,0.17331095258078053,0.00902224087284935,0.07322702475870752,english
2376,524,4.534351145038168,the,7,0.03536585365853658,0.020731707317073172,0.1902439024390244,0.01097560975609756,0.09024390243902439,iroquois
4215,908,4.642070484581498,the,1,0.049166666666666664,0.02666666666666667,0.17416666666666666,0.006666666666666667,0.09416666666666666,german
23023,5295,4.3480642115203025,the,6,0.06356854211998757,0.029219769972023624,0.18417780540876594,0.010879701585327946,0.09589679825924774,japanese
1907,464,4.109913793103448,the,6,0.04059040590405904,0.033210332103321034,0.1752767527675277,0.0,0.11070110701107011,filipino
3744,934,4.008565310492505,the,1,0.044189852700491,0.040098199672667756,0.13666121112929625,0.011456628477905073,0.10147299509001637,filipino
460,103,4.466019417475728,the,4,0.08088235294117647,0.022058823529411766,0.22058823529411764,0.0,0.058823529411764705,chinese
2549,639,3.9890453834115807,and,2,0.043726235741444866,0.045627376425855515,0.16920152091254753,0.015209125475285171,0.09315589353612168,english
707,176,4.017045454545454,the,3,0.037815126050420166,0.03361344537815126,0.14705882352941177,0.01680672268907563,0.10084033613445378,filipino
1179,254,4.641732283464567,the,3,0.061170212765957445,0.023936170212765957,0.19148936170212766,0.007978723404255319,0.0797872340425532,chinese
13054,3036,4.299736495388669,the,5,0.04560729716754681,0.019683149303888623,0.15506481036965913,0.020163226116178587,0.09361497839654345,armenian
