("'s", 'POS')
('palace', 'NN')
('passed', 'VBD')
('memory', 'NN')
('like', 'IN')
('bad', 'JJ')
('dream', 'NN')
('.', '.')
('Grandmother', 'NNP')
('sat', 'VBD')
('God', 'NNP')
("'s", 'POS')
('warm', 'JJ')
('sunshine', 'NN')
('reading', 'NN')
('Bible', 'NNP')
('.', '.')
("'Without", 'IN')
('ye', 'CC')
('become', 'VB')
('little', 'JJ')
('children', 'NNS')
('ye', 'VBP')
('enter', 'NN')
('Kingdom', 'NNP')
('Heaven', 'NNP')
('.', '.')
("'", "''")
('Kay', 'NNP')
('Gerda', 'NNP')
('looked', 'VBD')
("'s", 'POS')
('eyes', 'NNS')
(',', ',')
('meaning', 'VBG')
('old', 'JJ')
('hymn', 'NN')
('came', 'VBD')
('.', '.')
("'Where", 'JJ')
('roses', 'VBZ')
('deck', 'NN')
('flowery', 'NN')
('vale', 'NN')
(',', ',')
('There', 'EX')
(',', ',')
('Infant', 'NNP')
('Jesus', 'NNP')
(',', ',')
('thee', 'JJ')
('hail', 'NN')
('!', '.')
("'", "''")
('And', 'CC')
('sat', 'NN')
(',', ',')
('grown', 'VBN')
('yet', 'RB')
('children', 'NNS')
(',', ',')
('children', 'NNS')
('heart', 'NN')
(';', ':')
('summer', 'NN')
('--', ':')
('warm', 'NN')
(',', ',')
('beautiful', 'JJ')
('summer', 'NN')
('.', '.')
