('invitation', 'NN')
('discussed', 'VBD')
('stork', 'NN')
('meeting', 'NN')
(',', ',')
('unanimously', 'RB')
('accepted', 'VBD')
(';', ':')
('except', 'IN')
('old', 'JJ')
('grannies', 'NNS')
('grandpops', 'VBZ')
('feared', 'VBN')
('strange', 'JJ')
('land', 'NN')
('would', 'MD')
('well', 'RB')
('fed', 'VB')
('.', '.')
('On', 'IN')
('second', 'JJ')
('motion', 'NN')
(',', ',')
('agreed', 'VBD')
('strongest', 'JJS')
('birds', 'NNS')
('attempt', 'JJ')
('flight', 'NN')
('.', '.')
('Those', 'DT')
('afraid', 'JJ')
(',', ',')
('weak', 'JJ')
('go', 'NN')
(',', ',')
('must', 'MD')
('stay', 'VB')
('behind', 'IN')
('attend', 'JJ')
('old', 'JJ')
('folks', 'NNS')
('.', '.')
('Such', 'JJ')
('rattle', 'JJ')
('mandibles', 'NNS')
('never', 'RB')
('heard', 'VBP')
('Egypt', 'NNP')
(',', ',')
('stork', 'NN')
('meeting', 'NN')
('adjourned', 'VBD')
('.', '.')
('Now', 'RB')
('storks', 'VBZ')
('travel', 'NN')
(',', ',')
('go', 'VB')
('flocks', 'NNS')
('.', '.')
('Thousands', 'NNS')
('left', 'VBD')
('Egypt', 'NNP')
('together', 'RB')
('.', '.')
('High', 'NNP')
('air', 'NN')
(',', ',')
('broad', 'JJ')
('wings', 'NNS')
('spread', 'VBP')
('long', 'RB')
('legs', 'RB')
('stretched', 'VBN')
('behind', 'IN')
(',', ',')
('covered', 'VBD')
('Europe', 'NNP')
('hours', 'NNS')
('.', '.')
('Then', 'RB')
('scattered', 'VBD')
('marshy', 'NNS')
('lands', 'VBZ')
('new', 'JJ')
('country', 'NN')
('.', '.')
('It', 'PRP')
('agreed', 'VBD')
('pair', 'JJ')
('find', 'VBP')
('home', 'NN')
('.', '.')
('When', 'WRB')
('cold', 'JJ')
('autumn', 'NN')
('come', 'NN')
(',', ',')
('assemble', 'JJ')
('flight', 'NN')
('Egypt', 'NNP')
('.', '.')
('It', 'PRP')
('new', 'JJ')
('sight', 'JJ')
('fairies', 'NNS')
(',', ',')
('frogs', 'NNS')
('men', 'NNS')
(',', ',')
('look', 'NN')
('landscape', 'NN')
('see', 'VBP')
('snow', 'JJ')
('white', 'JJ')
('strangers', 'NNS')
('.', '.')
('They', 'PRP')
('pretty', 'VBP')
('look', 'VBP')
(',', ',')
('promenading', 'VBG')
('meadows', 'NNS')
(',', ',')
('wading', 'VBG')
('ponds', 'NNS')
('ditches', 'NNS')
(',', ',')
('standing', 'VBG')
('silently', 'RB')
('river', 'JJ')
('banks', 'NNS')
('.', '.')
('Soon', 'RB')
(',', ',')
('however', 'RB')
(',', ',')
('foreign', 'JJ')
('birds', 'NNS')
('unpopular', 'JJ')
('bullfrog', 'NN')
('land', 'NN')
(',', ',')
('snakes', 'NNS')
(',', ',')
('thought', 'VBN')
('Holland', 'NNP')
('would', 'MD')
('ruined', 'VB')
('hungry', 'JJ')
('strangers', 'NNS')
('.', '.')
('On', 'IN')
('hand', 'NN')
(',', ',')
('good', 'JJ')
('news', 'NN')
(',', ',')
('fairy-land', 'NN')
(',', ',')
('fairies', 'NNS')
('could', 'MD')
('dance', 'VB')
('safely', 'RB')
('meadow', 'JJ')
('rings', 'NNS')
(',', ',')
('bullfrogs', 'NNS')
('afraid', 'JJ')
('venture', 'NN')
('grass', 'NN')
(',', ',')
('lest', 'JJS')
('gobbled', 'VBN')
(',', ',')
('frogs', 'NNS')
('could', 'MD')
('hide', 'VB')
('storks', 'NNS')
('.', '.')
('The', 'DT')
('new', 'JJ')
('birds', 'NNS')
('could', 'MD')
('poke', 'VB')
('big', 'JJ')
('bills', 'NNS')
('far', 'RB')
('mud-holes', 'NNS')
(',', ',')
('frog', 'NN')
(',', ',')
('snake', 'NN')
(',', ',')
('big', 'JJ')
('little', 'JJ')
(',', ',')
('safe', 'JJ')
('.', '.')
('The', 'DT')
('stork', 'NN')
("'s", 'POS')
('red', 'JJ')
('legs', 'NN')
('long', 'RB')
(',', ',')
('birds', 'NNS')
('could', 'MD')
('wade', 'VB')
('deep', 'JJ')
('water', 'NN')
(',', ',')
('hundreds', 'NNS')
('frogs', 'VBP')
('soon', 'RB')
('eaten', 'RB')
(',', ',')
('many', 'JJ')
('widows', 'NNS')
('orphans', 'NNS')
('ponds', 'NNS')
('puddles', 'NNS')
('.', '.')
('When', 'WRB')
('fairies', 'NNS')
('got', 'VBD')
('acquainted', 'JJ')
('new', 'JJ')
('guests', 'NNS')
(',', ',')
('saw', 'VBD')
('behaved', 'VBN')
(',', ',')
('nearly', 'RB')
('died', 'VBD')
('laughing', 'NN')
('.', '.')
('They', 'PRP')
('surprised', 'VBD')
('diet', 'NN')
(',', ',')
('eating', 'VBG')
('habits', 'NNS')
(',', ',')
('soon', 'RB')
('discovered', 'VBD')
('storks', 'NNS')
('song', 'JJ')
('birds', 'NNS')
('.', '.')
('Instead', 'RB')
('voices', 'NNS')
(',', ',')
('seemed', 'VBD')
('talk', 'NN')
('clattering', 'VBG')
('long', 'RB')
('jaws', 'NN')
(',', ',')
('snapping', 'VBG')
('mandibles', 'NNS')
('together', 'RB')
('.', '.')
('Their', 'PRP$')
('snowy', 'JJ')
('plumage', 'NN')
('--', ':')
('white', 'JJ')
('wing', 'NN')
('feathers', 'NNS')
('--', ':')
('admired', 'VBD')
(',', ',')
('envied', 'VBD')
(',', ',')
('long', 'JJ')
('bright', 'NN')
('colored', 'VBD')
('legs', 'JJ')
('wonder', 'NN')
('.', '.')
('At', 'IN')
('first', 'JJ')
('fairies', 'NNS')
('thought', 'VBN')
('guests', 'NNS')
('wore', 'VBD')
('red', 'JJ')
('stockings', 'NNS')
('thought', 'VBN')
('heavy', 'JJ')
('must', 'MD')
('laundry', 'VB')
('work', 'NN')
('wash', 'NN')
('days', 'NNS')
(';', ':')
('Holland', 'NNP')
(',', ',')
('everything', 'NN')
('must', 'MD')
('clean', 'VB')
('.', '.')
('Of', 'IN')
('creatures', 'NNS')
('earth', 'VBP')
(',', ',')
('fairies', 'NNS')
('thought', 'VBD')
(',', ',')
('funniest', 'JJS')
('seen', 'VBN')
('Mr.', 'NNP')
('Stork', 'NNP')
('love', 'VBP')
('.', '.')
('To', 'TO')
('attract', 'VB')
('please', 'VB')
('lady', 'JJ')
('love', 'NN')
(',', ',')
('made', 'VBN')
('grotesque', 'NN')
('gestures', 'NNS')
('.', '.')
('He', 'PRP')
('would', 'MD')
('leap', 'VB')
('ground', 'NN')
('move', 'NN')
('hop', 'NN')
(',', ',')
('skip', 'NN')
(',', ',')
('jump', 'NN')
('.', '.')
('Then', 'RB')
('spread', 'NN')
('wings', 'NNS')
(',', ',')
('hug', 'NN')
('beloved', 'VBD')
('.', '.')
('Then', 'RB')
('danced', 'VBN')
('around', 'IN')
(',', ',')
('filled', 'VBD')
('wine', 'NN')
('.', '.')
('All', 'DT')
('time', 'NN')
('made', 'VBN')
('best', 'JJS')
('music', 'NN')
('knew', 'NN')
(',', ',')
('clattering', 'VBG')
('mandibles', 'NNS')
('together', 'RB')
('.', '.')
('He', 'PRP')
('intended', 'VBD')
('performance', 'NN')
('sort', 'NN')
('love', 'NN')
('ditty', 'NN')
(',', ',')
('serenade', 'NN')
('.', '.')
('The', 'DT')
('whole', 'JJ')
('program', 'NN')
('amusing', 'VBG')
('anything', 'NN')
('ape', 'NN')
(',', ',')
('goat', 'NN')
(',', ',')
('donkey', 'NN')
('could', 'MD')
('get', 'VB')
('.', '.')
('How', 'WRB')
('fairies', 'NNS')
('laugh', 'VBP')
('!', '.')
('Yet', 'CC')
('fairies', 'NNS')
('grateful', 'JJ')
('storks', 'NNS')
('ridding', 'VBG')
('meadows', 'NNS')
('much', 'RB')
('vermin', 'NNS')
('.', '.')
('How', 'WRB')
('delicate', 'JJ')
('looking', 'VBG')
(',', ',')
('snow', 'JJ')
('white', 'JJ')
('graceful', 'NN')
('creatures', 'NNS')
('could', 'MD')
('put', 'VB')
('many', 'JJ')
('snails', 'NNS')
(',', ',')
('snakes', 'NNS')
(',', ',')
('tadpoles', 'NNS')
(',', ',')
('toads', 'NNS')
('stomachs', 'VBP')
('turn', 'NN')
('snow', 'JJ')
('white', 'JJ')
('feathers', 'NNS')
(',', ',')
('wonderful', 'JJ')
('wings', 'NNS')
('long', 'RB')
('legs', 'RB')
(',', ',')
('red', 'JJ')
('rose', 'VBD')
(',', ',')
('mystery', 'NN')
('.', '.')
('It', 'PRP')
('seemed', 'VBD')
('wonderful', 'JJ')
('anything', 'NN')
('could', 'MD')
(',', ',')
('fairies', 'NNS')
('stomachs', 'VBP')
('eat', 'NN')
(',', ',')
('whole', 'JJ')
('matter', 'NN')
('digestion', 'NN')
('mystery', 'NN')
('.', '.')
('Besides', 'IN')
('terror', 'NN')
('gloom', 'NN')
('frog', 'NN')
('world', 'NN')
(',', ',')
('every', 'DT')
('reptile', 'NN')
('winced', 'VBD')
('squirmed', 'VBN')
(',', ',')
('heard', 'VB')
('new', 'JJ')
('enemy', 'NN')
('.', '.')
('All', 'DT')
('crawlers', 'NNS')
(',', ',')
('creepers', 'NNS')
(',', ',')
('jumpers', 'NNS')
('long', 'RB')
('imagined', 'JJ')
('land', 'NN')
('made', 'VBN')
('solely', 'RB')
('benefit', 'JJ')
('!', '.')
('Nor', 'CC')
('know', 'VB')
('conquer', 'NN')
('storks', 'NNS')
('.', '.')
('The', 'DT')
('frog', 'NN')
('daddies', 'NNS')
('could', 'MD')
('nothing', 'NN')
(',', ',')
('frog', 'NN')
('mothers', 'NNS')
('every', 'DT')
('moment', 'NN')
('afraid', 'JJ')
('let', 'NN')
('either', 'CC')
('tadpoles', 'VB')
('froggies', 'NNS')
('go', 'VB')
('sight', 'RB')
('.', '.')
('They', 'PRP')
('worried', 'VBD')
('lest', 'JJS')
('see', 'NN')
('babies', 'NNS')
('caught', 'VBD')
('pair', 'NN')
('long', 'RB')
(',', ',')
('bony', 'NN')
('jaws', 'NN')
(',', ',')
('sharp', 'JJ')
('scissors', 'NNS')
(',', ',')
('wriggle', 'NN')
('crow', 'NN')
(',', ',')
('darlings', 'NNS')
('disappeared', 'VBD')
('within', 'IN')
('monster', 'NN')
('.', '.')
('One', 'CD')
('anecdote', 'NN')
('many', 'JJ')
('long', 'RB')
('told', 'VBD')
('old', 'JJ')
('Dutch', 'NNP')
('frog', 'NN')
('ponds', 'NNS')
(':', ':')
('showing', 'VBG')
('clangers', 'NNS')
('curiosity', 'NN')
('may', 'MD')
('lead', 'VB')
('youngsters', 'NNS')
('.', '.')
('We', 'PRP')
('put', 'VBP')
('quotation', 'NN')
('marks', 'NNS')
('show', 'VBP')
('told', 'JJ')
('true', 'JJ')
('story', 'NN')
(',', ',')
('printed', 'VBN')
('book', 'NN')
(',', ',')
('made', 'VBN')
('.', '.')
('``', '``')
('A', 'DT')
('tadpole', 'NN')
('often', 'RB')
('teased', 'VBD')
('froggy', 'JJ')
('mother', 'NN')
('let', 'NN')
('go', 'VB')
('see', 'VB')
('red', 'JJ')
('pole', 'NN')
(',', ',')
('heard', 'RB')
('traveller', 'NN')
('.', '.')
('Mrs.', 'NNP')
('Frog', 'NNP')
('would', 'MD')
('first', 'RB')
('let', 'VB')
('son', 'NN')
('go', 'VB')
(',', ',')
('promised', 'VBN')
('soon', 'RB')
('tadpole', 'JJ')
('lost', 'VBN')
('tail', 'NN')
(',', ',')
('flippers', 'NNS')
('turned', 'VBD')
('fore', 'RB')
('legs', 'JJ')
(',', ',')
('hind', 'JJ')
('quarters', 'NNS')
('properly', 'RB')
('sprouted', 'VBN')
(',', ',')
('could', 'MD')
('hop', 'VB')
('danger', 'NN')
(',', ',')
('might', 'MD')
('venture', 'NN')
('travels', 'NNS')
('.', '.')
('She', 'PRP')
('warned', 'VBD')
(',', ',')
('however', 'RB')
(',', ',')
('go', 'VBP')
('near', 'RB')
('curious', 'JJ')
('red', 'JJ')
('pole', 'NN')
(',', ',')
('heard', 'NN')
('.', '.')
('Nobody', 'NN')
('yet', 'RB')
('found', 'VBN')
('red', 'JJ')
('thing', 'NN')
(',', ',')
('standing', 'VBG')
('water', 'NN')
(',', ',')
(';', ':')
('danger', 'NN')
('suspected', 'VBD')
('old', 'JJ')
('heads', 'NNS')
(',', ',')
('little', 'JJ')
('froggies', 'NNS')
('warned', 'VBD')
('careful', 'JJ')
('keep', 'VB')
('away', 'RB')
